Variant,Target,Threshold_Probability,Model_Net_Benefit,Treat_All_Net_Benefit,Treat_None_Net_Benefit,TP,FP
Original_uncalibrated,1m,0.06,-0.012518659248201924,-0.05745965704518353,0.0,327,16685
Original_uncalibrated,1m,0.061,-0.012716325521631577,-0.05858581216450747,0.0,326,16558
Original_uncalibrated,1m,0.062,-0.012923093660673237,-0.05971436846745471,0.0,326,16458
Original_uncalibrated,1m,0.063,-0.013155050586168686,-0.060845333641913045,0.0,325,16368
Original_uncalibrated,1m,0.064,-0.013348684080805128,-0.06197871540862449,0.0,325,16262
Original_uncalibrated,1m,0.065,-0.013562198340642219,-0.06311452152136099,0.0,323,16147
Original_uncalibrated,1m,0.066,-0.013760768750855414,-0.06425275976710121,0.0,323,16051
Original_uncalibrated,1m,0.067,-0.013927038866943105,-0.06539343796620849,0.0,323,15931
Original_uncalibrated,1m,0.068,-0.014115288090638374,-0.06653656397261001,0.0,323,15832
Original_uncalibrated,1m,0.069,-0.014290276609461737,-0.06768214567397694,0.0,323,15725
Original_uncalibrated,1m,0.07,-0.014461738144537493,-0.06883019099190596,0.0,323,15618
Original_uncalibrated,1m,0.071,-0.014663477655865254,-0.06998070788210174,0.0,322,15524
Original_uncalibrated,1m,0.072,-0.01483600334111679,-0.0711337043345609,0.0,322,15423
Original_uncalibrated,1m,0.073,-0.015003869090359724,-0.07228918837375677,0.0,322,15321
Original_uncalibrated,1m,0.074,-0.015165649280287187,-0.07344716805882562,0.0,322,15217
Original_uncalibrated,1m,0.075,-0.01536247538079537,-0.07460765148375408,0.0,322,15141
Original_uncalibrated,1m,0.076,-0.015534613529592492,-0.07577064677756766,0.0,322,15049
Original_uncalibrated,1m,0.077,-0.015706573333547004,-0.0769361621045206,0.0,322,14959
Original_uncalibrated,1m,0.078,-0.015879642072126623,-0.0781042056642869,0.0,321,14860
Original_uncalibrated,1m,0.079,-0.0160164348727959,-0.07927478569215259,0.0,321,14750
Original_uncalibrated,1m,0.08,-0.01616569412403311,-0.08044791045920927,0.0,321,14651
