Target,Published_Full_Brier_Score,Original_New_Test_Brier_Score,Platt_New_Test_Brier_Score,Isotonic_New_Test_Brier_Score,Delta_Platt_Minus_Original_Brier_Score,Published_Full_Brier_Skill_Score,Original_New_Test_Brier_Skill_Score,Platt_New_Test_Brier_Skill_Score,Isotonic_New_Test_Brier_Skill_Score,Delta_Platt_Minus_Original_Brier_Skill_Score,Published_Full_ECE,Original_New_Test_ECE,Platt_New_Test_ECE,Isotonic_New_Test_ECE,Delta_Platt_Minus_Original_ECE,Published_Full_MCE,Original_New_Test_MCE,Platt_New_Test_MCE,Isotonic_New_Test_MCE,Delta_Platt_Minus_Original_MCE,Published_Full_Calibration_Intercept,Original_New_Test_Calibration_Intercept,Platt_New_Test_Calibration_Intercept,Isotonic_New_Test_Calibration_Intercept,Delta_Platt_Minus_Original_Calibration_Intercept,Published_Full_Calibration_Slope,Original_New_Test_Calibration_Slope,Platt_New_Test_Calibration_Slope,Isotonic_New_Test_Calibration_Slope,Delta_Platt_Minus_Original_Calibration_Slope,Published_Full_HL_P_Value,Original_New_Test_HL_P_Value,Platt_New_Test_HL_P_Value,Isotonic_New_Test_HL_P_Value,Delta_Platt_Minus_Original_HL_P_Value
1m,0.0393231447177584,0.04130163403965811,0.005587067620580495,0.005701207169498178,-0.03571456641907761,-5.297387872055916,-5.939040321237151,0.06132315589595283,0.04214670076037341,6.000363477133104,0.0867558213899396,0.08891443170596099,0.0030980711722749707,0.0035476709955777805,-0.08581636053368602,0.5148649265139892,0.5339154730122116,0.024551478418086213,0.02537314420146026,-0.5093639945941254,-3.6518771298106953,-3.718749539147313,-0.9743293744321901,-1.6368836032501584,2.7444201647151227,0.884287727703406,0.8112605675510608,0.7763522031189988,0.574832160675436,-0.03490836443206202,0.0,0.0,1.4708225336633102e-23,5.805012914733969e-37,1.4708225336633102e-23
1y,0.0788517538466174,0.08042931540026167,0.019590180569861972,0.019602256441919107,-0.060839134830399696,-2.7675675849691346,-2.9211642705575933,0.04492142296583024,0.04433268889777786,2.9660856935234237,0.1533311320520818,0.15631885740625498,0.0036866762196804503,0.0035870773265046854,-0.15263218118657454,0.6008102380114748,0.6058198543445033,0.01477609544660144,0.00834441127808113,-0.5910437588979018,-2.9517708456860814,-2.9938516220712543,-0.2916089210652901,-1.101416297336622,2.7022427010059644,0.6734471524546773,0.6604118557577772,0.9425293396374604,0.6768022332050714,0.2821174838796833,0.0,0.0,9.978764007500303e-08,1.8669341269164297e-30,9.978764007500303e-08
5y,0.1195552692879348,0.1254103730655155,0.04954954423278153,0.05025310929276913,-0.07586082883273397,-1.4598330788565992,-1.50606583515266,0.009855270231199365,-0.004204016226077689,1.5159211053838593,0.1959640957167393,0.19751372258045685,0.024978191485709067,0.028111314004373708,-0.17253553109474778,0.5881148860860889,0.609517525219966,0.13030148378020345,0.15464645966641385,-0.4792160414397626,-2.3698317483696125,-2.3787074963581856,-1.065338766370496,-1.4969848493904385,1.3133687299876895,0.630402634469447,0.5329046056658167,0.648769322060611,0.46612972225511784,0.11586471639479434,0.0,0.0,7.117304817639904e-80,5.117717406776831e-141,7.117304817639904e-80
