Variant,Target,N,Patients,Positive,Negative,Prevalence,AUROC,AUROC_CI95_Low,AUROC_CI95_High,AUPRC,AUPRC_CI95_Low,AUPRC_CI95_High,AUPRC_Baseline,AUPRC_Baseline_Fold,Brier_Score,Brier_CI95_Low,Brier_CI95_High,Bootstrap_Requested,Bootstrap_Seed,Bootstrap_Unit
Original_uncalibrated,1m,58952,789,353,58599,0.00598792237752748,0.9083280385480671,0.8675145794655726,0.9393947444857573,0.1583232709806129,0.05967228241073027,0.30683968283035146,0.00598792237752748,26.44043476161216,0.04130163403965811,0.03735689853926605,0.04555602343720426,2000,20260824,Patient_ID
Platt_calibrated,1m,58952,789,353,58599,0.00598792237752748,0.9083280385480671,0.8675145794655726,0.9393947444857573,0.1583232709806129,0.05967228241073027,0.30683968283035146,0.00598792237752748,26.44043476161216,0.005587067620580495,0.003867280876090308,0.007527421888349916,2000,20260824,Patient_ID
Isotonic_sensitivity,1m,58952,789,353,58599,0.00598792237752748,0.904883273733461,0.8620071546638965,0.9368497359220997,0.13359440864942967,0.0489517841584984,0.26816432748284413,0.00598792237752748,22.310644698870192,0.005701207169498178,0.003931715466781503,0.007702247717151228,2000,20260824,Patient_ID
Original_uncalibrated,1y,51025,714,1069,49956,0.02095051445369917,0.818184707875016,0.7571068260155452,0.8682565750107185,0.11760784669363632,0.05547639370730557,0.19807222645775452,0.02095051445369917,5.6136018498997124,0.08042931540026167,0.0743701044466807,0.08719582718367942,2000,20260825,Patient_ID
Platt_calibrated,1y,51025,714,1069,49956,0.02095051445369917,0.818184707875016,0.7571068260155452,0.8682565750107185,0.11760784669363632,0.05547639370730557,0.19807222645775452,0.02095051445369917,5.6136018498997124,0.019590180569861972,0.013363491677343568,0.026935700867207292,2000,20260825,Patient_ID
Isotonic_sensitivity,1y,51025,714,1069,49956,0.02095051445369917,0.8127461520675144,0.7521685156187091,0.863127932771932,0.1055067177122352,0.050043383436569285,0.1787850479436056,0.02095051445369917,5.035996511942751,0.019602256441919107,0.013277662242181605,0.027004148779536136,2000,20260825,Patient_ID
Original_uncalibrated,5y,23640,457,1249,22391,0.052834179357022,0.7332526375707328,0.6504697589564092,0.811750632849606,0.1713236110496461,0.09229183529318048,0.2754078357226508,0.052834179357022,3.2426662651830536,0.1254103730655155,0.11355162312612865,0.13788248855582974,2000,20260826,Patient_ID
Platt_calibrated,5y,23640,457,1249,22391,0.052834179357022,0.7332526375707328,0.6504697589564092,0.811750632849606,0.1713236110496461,0.09229183529318048,0.2754078357226508,0.052834179357022,3.2426662651830536,0.04954954423278153,0.03565488502333577,0.06465422272525134,2000,20260826,Patient_ID
Isotonic_sensitivity,5y,23640,457,1249,22391,0.052834179357022,0.7323671629903629,0.6499858348224925,0.8106981156194524,0.1586613789556679,0.08797051609186622,0.2543986099558677,0.052834179357022,3.0030064039327375,0.05025310929276913,0.0363376100235051,0.0655982408952923,2000,20260826,Patient_ID
