Variant,Target,N,Prevalence,Brier_Score,Brier_Skill_Score,ECE,MCE,Calibration_Intercept,Calibration_Slope,HL_ChiSquare,HL_DF,HL_P_Value,Calibration_Bin_Count,Brier_CI95_Low,Brier_CI95_High
Original_uncalibrated,1m,58952,0.00598792237752748,0.04130163403965811,-5.939040321237151,0.08891443170596099,0.5339154730122116,-3.718749539147313,0.8112605675510608,9231.035874006897,8,0.0,10,0.03735689853926605,0.04555602343720426
Platt_calibrated,1m,58952,0.00598792237752748,0.005587067620580495,0.06132315589595283,0.0030980711722749707,0.024551478418086213,-0.9743293744321901,0.7763522031189988,126.54396142239378,8,1.4708225336633102e-23,10,0.003867280876090308,0.007527421888349916
Isotonic_sensitivity,1m,58952,0.00598792237752748,0.005701207169498178,0.04214670076037341,0.0035476709955777805,0.02537314420146026,-1.6368836032501584,0.574832160675436,166.87385320174388,2,5.805012914733969e-37,4,0.003931715466781503,0.007702247717151228
Original_uncalibrated,1y,51025,0.02095051445369917,0.08042931540026167,-2.9211642705575933,0.15631885740625498,0.6058198543445033,-2.9938516220712543,0.6604118557577772,15151.94473674582,8,0.0,10,0.0743701044466807,0.08719582718367942
Platt_calibrated,1y,51025,0.02095051445369917,0.019590180569861972,0.04492142296583024,0.0036866762196804503,0.01477609544660144,-0.2916089210652901,0.9425293396374604,47.977294581923665,8,9.978764007500303e-08,10,0.013363491677343568,0.026935700867207292
Isotonic_sensitivity,1y,51025,0.02095051445369917,0.019602256441919107,0.04433268889777786,0.0035870773265046854,0.00834441127808113,-1.101416297336622,0.6768022332050714,149.315943567379,5,1.8669341269164297e-30,7,0.013277662242181605,0.027004148779536136
Original_uncalibrated,5y,23640,0.052834179357022,0.1254103730655155,-1.50606583515266,0.19751372258045685,0.609517525219966,-2.3787074963581856,0.5329046056658167,9619.55500616965,8,0.0,10,0.11355162312612865,0.13788248855582974
Platt_calibrated,5y,23640,0.052834179357022,0.04954954423278153,0.009855270231199365,0.024978191485709067,0.13030148378020345,-1.065338766370496,0.648769322060611,392.6137539514001,8,7.117304817639904e-80,10,0.03565488502333577,0.06465422272525134
Isotonic_sensitivity,5y,23640,0.052834179357022,0.05025310929276913,-0.004204016226077689,0.028111314004373708,0.15464645966641385,-1.4969848493904385,0.46612972225511784,672.7677720032138,7,5.117717406776831e-141,9,0.0363376100235051,0.0655982408952923
