Target,Published_Full_N,Published_Full_Patients,New_Test_N,New_Test_Patients,Published_Full_AUROC,Original_New_Test_AUROC,Platt_New_Test_AUROC,Isotonic_New_Test_AUROC,Delta_Platt_Minus_Original_AUROC,Published_Full_AUPRC,Original_New_Test_AUPRC,Platt_New_Test_AUPRC,Isotonic_New_Test_AUPRC,Delta_Platt_Minus_Original_AUPRC,Published_Full_Brier,Original_New_Test_Brier,Platt_New_Test_Brier,Isotonic_New_Test_Brier,Delta_Platt_Minus_Original_Brier,Relative_Brier_Change_Platt
1m,88640,1181,58952,789,0.92515139598931,0.9083280385480671,0.9083280385480671,0.904883273733461,0.0,0.193575306112448,0.1583232709806129,0.1583232709806129,0.13359440864942967,0.0,0.0393231447177584,0.04130163403965811,0.005587067620580495,0.005701207169498178,-0.03571456641907761,-0.8647252644964178
1y,76684,1069,51025,714,0.8198871865091178,0.818184707875016,0.818184707875016,0.8127461520675144,0.0,0.1348471665693481,0.11760784669363632,0.11760784669363632,0.1055067177122352,0.0,0.0788517538466174,0.08042931540026167,0.019590180569861972,0.019602256441919107,-0.060839134830399696,-0.7564298480924502
5y,35079,683,23640,457,0.7669787265376994,0.7332526375707328,0.7332526375707328,0.7323671629903629,0.0,0.1977367084858112,0.1713236110496461,0.1713236110496461,0.1586613789556679,0.0,0.1195552692879348,0.1254103730655155,0.04954954423278153,0.05025310929276913,-0.07586082883273397,-0.6049007508581734
