Scope,Model,Model_Family,Target,N_Nodes,N_Patients,Positive_N,Negative_N,AUROC,AUROC_CI95_Low,AUROC_CI95_High,AUROC_SE,CI_Method,N_Bootstrap_Requested,N_Bootstrap_Valid,Bootstrap_Seed,AUROC_Delong_CI95_Low,AUROC_Delong_CI95_High,AUROC_Delong_SE,Delong_CI_Method,Stage,Stage_Label,Day_Range,CI_width,Error_Low,Error_High,Low_Event_Flag
All-model common valid,RSF,ML,1m,19167,1095,50,19117,0.7293633938379454,0.6029639617614895,0.8458698411047584,0.0619858180526116,Patient-level cluster bootstrap percentile,2000,2000,20263641,0.6506352709053279,0.8080915167705628,0.0401681477586398,DeLong normal approximation,Stage3,4m-12m,91-365d,0.2429058793432689,0.12639943207645588,0.11650644726681303,False
All-model common valid,Qwen3-4B SFT,LLM,1m,19167,1095,50,19117,0.8397018360621438,0.7215493010188275,0.9381441896102892,0.0553028948642575,Patient-level cluster bootstrap percentile,2000,2000,20263656,0.7835021184962732,0.8959015536280144,0.028673852177472,DeLong normal approximation,Stage3,4m-12m,91-365d,0.2165948885914617,0.11815253504331624,0.09844235354814546,False
All-model common valid,Qwen3-4B baseline,LLM,1m,19167,1095,50,19117,0.4839645341842339,0.3245101373991975,0.6460343660658675,0.0830131112423614,Patient-level cluster bootstrap percentile,2000,2000,20263671,0.3987100971863755,0.5692189711820923,0.0434979610188424,DeLong normal approximation,Stage3,4m-12m,91-365d,0.32152422866667,0.15945439678503642,0.1620698318816336,False
All-model common valid,Llama3.1-8B,LLM,1m,19167,1095,50,19117,0.5172631689072554,0.4283388880131426,0.6072136311688021,0.0454864943371648,Patient-level cluster bootstrap percentile,2000,2000,20263686,0.4359157894990263,0.5986105483154845,0.0415045276596339,DeLong normal approximation,Stage3,4m-12m,91-365d,0.1788747431556595,0.0889242808941128,0.08995046226154668,False
All-model common valid,Huatuo-O1-7B,LLM,1m,19167,1095,50,19117,0.4606360830674268,0.373905493617347,0.5595390176005015,0.0482753500450124,Patient-level cluster bootstrap percentile,2000,2000,20263701,0.379693248716303,0.5415789174185507,0.0412981233275665,DeLong normal approximation,Stage3,4m-12m,91-365d,0.18563352398315452,0.08673058945007983,0.0989029345330747,False
All-model common valid,XGBoost,ML,1m,12636,968,38,12598,0.9288358218931996,0.8197288540408373,0.978512116018877,0.0385942409278663,Patient-level cluster bootstrap percentile,2000,2000,20263612,0.8948518150290379,0.962819828757361,0.017339097622315,DeLong normal approximation,Stage4,1y-2y,366-730d,0.1587832619780397,0.10910696785236229,0.04967629412567742,True
All-model common valid,LSTM,ML,1m,12636,968,38,12598,0.9175140582047276,0.7479713503087692,0.9863800700936776,0.0555066065199656,Patient-level cluster bootstrap percentile,2000,2000,20263627,0.8691976555866191,0.965830460822836,0.0246516788059485,DeLong normal approximation,Stage4,1y-2y,366-730d,0.2384087197849084,0.1695427078959585,0.06886601188894992,True
All-model common valid,RSF,ML,1m,12636,968,38,12598,0.8313568987558594,0.5539136713495644,0.9604721506896168,0.1079565094132729,Patient-level cluster bootstrap percentile,2000,2000,20263642,0.7471246974808977,0.9155891000308212,0.0429764025968714,DeLong normal approximation,Stage4,1y-2y,366-730d,0.4065584793400524,0.277443227406295,0.1291152519337574,True
All-model common valid,Qwen3-4B SFT,LLM,1m,12636,968,38,12598,0.8339178733466465,0.6571724305323572,0.926398752528912,0.0643344505419683,Patient-level cluster bootstrap percentile,2000,2000,20263657,0.7752645988043073,0.8925711478889856,0.0299256899641976,DeLong normal approximation,Stage4,1y-2y,366-730d,0.26922632199655483,0.17674544281428928,0.09248087918226555,True
All-model common valid,Qwen3-4B baseline,LLM,1m,12636,968,38,12598,0.6275735079085235,0.4427143054504643,0.7357520110608996,0.0729340705385422,Patient-level cluster bootstrap percentile,2000,2000,20263672,0.5499452758744381,0.7052017399426089,0.0396069686210598,DeLong normal approximation,Stage4,1y-2y,366-730d,0.2930377056104353,0.1848592024580592,0.1081785031523761,True
All-model common valid,Llama3.1-8B,LLM,1m,12636,968,38,12598,0.5786277688187765,0.4628561943128287,0.63329217890426,0.0438328724136976,Patient-level cluster bootstrap percentile,2000,2000,20263687,0.4888990631425855,0.6683564744949675,0.0457807931084242,DeLong normal approximation,Stage4,1y-2y,366-730d,0.17043598459143133,0.11577157450594783,0.054664410085483506,True
All-model common valid,Huatuo-O1-7B,LLM,1m,12636,968,38,12598,0.5813913653796342,0.4624922532113639,0.6367190146330602,0.0443575789578475,Patient-level cluster bootstrap percentile,2000,2000,20263702,0.5016517925354543,0.6611309382238141,0.0406842031145242,DeLong normal approximation,Stage4,1y-2y,366-730d,0.17422676142169635,0.11889911216827032,0.05532764925342604,True
All-model common valid,XGBoost,ML,1m,24329,848,34,24295,0.972117235451497,0.8807291944245519,0.9964131235782594,0.0290764012061115,Patient-level cluster bootstrap percentile,2000,2000,20263613,0.942473691346011,1.0,0.0151245351135584,DeLong normal approximation,Stage5,>2y,>730d,0.11568392915370751,0.09138804102694509,0.02429588812676242,True
All-model common valid,LSTM,ML,1m,24329,848,34,24295,0.949672530053388,0.7731674940078108,0.9944087556887288,0.0575627342806945,Patient-level cluster bootstrap percentile,2000,2000,20263628,0.8992516290296723,1.0,0.0257254222125657,DeLong normal approximation,Stage5,>2y,>730d,0.22124126168091796,0.1765050360455772,0.04473622563534074,True
All-model common valid,RSF,ML,1m,24329,848,34,24295,0.944104330351198,0.7650024573609902,0.9858338612958636,0.0573714766871899,Patient-level cluster bootstrap percentile,2000,2000,20263643,0.8964061046752987,0.9918025560270972,0.0243362766112728,DeLong normal approximation,Stage5,>2y,>730d,0.22083140393487344,0.17910187299020786,0.04172953094466558,True
All-model common valid,Qwen3-4B SFT,LLM,1m,24329,848,34,24295,0.9714501894604312,0.8752374248297312,0.996925036861552,0.0324977202228739,Patient-level cluster bootstrap percentile,2000,2000,20263658,0.9410394493486232,1.0,0.0155159688400827,DeLong normal approximation,Stage5,>2y,>730d,0.12168761203182077,0.09621276463069994,0.025474847401120826,True
All-model common valid,Qwen3-4B baseline,LLM,1m,24329,848,34,24295,0.6454541602605233,0.4120213027686503,0.858064602739424,0.1249551829476837,Patient-level cluster bootstrap percentile,2000,2000,20263673,0.5364666552532444,0.7544416652678021,0.0556068916913567,DeLong normal approximation,Stage5,>2y,>730d,0.4460432999707737,0.23343285749187298,0.2126104424789007,True
