Scope,Model,Model_Family,Target,N_Nodes,N_Patients,Positive_N,Negative_N,AUROC,AUROC_CI95_Low,AUROC_CI95_High,AUROC_SE,CI_Method,N_Bootstrap_Requested,N_Bootstrap_Valid,Bootstrap_Seed,AUROC_Delong_CI95_Low,AUROC_Delong_CI95_High,AUROC_Delong_SE,Delong_CI_Method,Stage,Stage_Label,Day_Range,CI_width,Error_Low,Error_High,Low_Event_Flag
All-model common valid,Llama3.1-8B,LLM,1y,19992,763,77,19915,0.5683808784737733,0.4757343798505056,0.6218734765400881,0.0377236994404815,Patient-level cluster bootstrap percentile,2000,2000,20263693,0.4998043068867156,0.6369574500608309,0.0349886896534736,DeLong normal approximation,Stage5,>2y,>730d,0.14613909668958247,0.09264649862326768,0.05349259806631479,False
All-model common valid,Huatuo-O1-7B,LLM,1y,19992,763,77,19915,0.5468712808657574,0.4521581979576019,0.6118315508744262,0.0430686133283149,Patient-level cluster bootstrap percentile,2000,1998,20263708,0.4810489820177525,0.6126935797137623,0.0335834226379682,DeLong normal approximation,Stage5,>2y,>730d,0.15967335291682427,0.0947130829081555,0.06496027000866877,False
All-model common valid,XGBoost,ML,5y,10295,666,821,9474,0.6989820463827278,0.6350133683503558,0.7618874808954668,0.0319462721196802,Patient-level cluster bootstrap percentile,2000,2000,20263619,0.679920244248547,0.7180438485169085,0.0097255879620941,DeLong normal approximation,Stage1,0d-1m,0-30d,0.12687411254511094,0.06396867803237194,0.062905434512739,False
All-model common valid,LSTM,ML,5y,10295,666,821,9474,0.674231122191718,0.601916897261877,0.7389264649031105,0.0353534852920621,Patient-level cluster bootstrap percentile,2000,2000,20263634,0.6551506475153385,0.6933115968680975,0.0097351149443989,DeLong normal approximation,Stage1,0d-1m,0-30d,0.1370095676412335,0.07231422492984096,0.06469534271139254,False
All-model common valid,RSF,ML,5y,10295,666,821,9474,0.6780214817037564,0.6128579286012318,0.738208002778031,0.032000451630895,Patient-level cluster bootstrap percentile,2000,2000,20263649,0.6575361906475478,0.6985067727599651,0.0104518711658959,DeLong normal approximation,Stage1,0d-1m,0-30d,0.12535007417679922,0.06516355310252464,0.06018652107427458,False
All-model common valid,Qwen3-4B SFT,LLM,5y,10295,666,821,9474,0.69943935283359,0.6295481741797061,0.7666132288571723,0.0343215159107559,Patient-level cluster bootstrap percentile,2000,2000,20263664,0.6787319390325051,0.720146766634675,0.0105652011794208,DeLong normal approximation,Stage1,0d-1m,0-30d,0.1370650546774662,0.06989117865388395,0.06717387602358227,False
All-model common valid,Qwen3-4B baseline,LLM,5y,10295,666,821,9474,0.5553237953375569,0.5161532206841491,0.593077671851846,0.0192379797492566,Patient-level cluster bootstrap percentile,2000,2000,20263679,0.5336121818904516,0.5770354087846623,0.0110775573522594,DeLong normal approximation,Stage1,0d-1m,0-30d,0.07692445116769686,0.039170574653407786,0.037753876514289075,False
All-model common valid,Llama3.1-8B,LLM,5y,10295,666,821,9474,0.5327762859927947,0.5081958968457441,0.5563416824997228,0.0122636985153912,Patient-level cluster bootstrap percentile,2000,2000,20263694,0.5121295869585962,0.5534229850269932,0.0105342236883212,DeLong normal approximation,Stage1,0d-1m,0-30d,0.04814578565397876,0.02458038914705063,0.023565396506928127,False
All-model common valid,Huatuo-O1-7B,LLM,5y,10295,666,821,9474,0.499728727407557,0.4771586127735645,0.5208062613896606,0.0110954959160624,Patient-level cluster bootstrap percentile,2000,2000,20263709,0.4795814561407771,0.5198759986743369,0.0102794089206225,DeLong normal approximation,Stage1,0d-1m,0-30d,0.043647648616096046,0.0225701146339925,0.021077533982103547,False
All-model common valid,XGBoost,ML,5y,4917,625,305,4612,0.7917122829966019,0.6817345354388779,0.8743593065665731,0.0492564420256592,Patient-level cluster bootstrap percentile,2000,2000,20263620,0.7624594885824352,0.8209650774107686,0.0149251693627581,DeLong normal approximation,Stage2,2m-3m,31-90d,0.19262477112769527,0.10997774755772405,0.08264702356997122,False
All-model common valid,LSTM,ML,5y,4917,625,305,4612,0.7262678970042512,0.612959204194916,0.818141270232319,0.0538643941395097,Patient-level cluster bootstrap percentile,2000,2000,20263635,0.6979361738075107,0.7545996202009917,0.0144552264328413,DeLong normal approximation,Stage2,2m-3m,31-90d,0.20518206603740297,0.1133086928093352,0.09187337322806777,False
All-model common valid,RSF,ML,5y,4917,625,305,4612,0.6834565566661454,0.54568647148047,0.794840635525436,0.0633655123874337,Patient-level cluster bootstrap percentile,2000,2000,20263650,0.6463829824725007,0.72053013085979,0.018915436449892,DeLong normal approximation,Stage2,2m-3m,31-90d,0.24915416404496604,0.13777008518567535,0.11138407885929069,False
All-model common valid,Qwen3-4B SFT,LLM,5y,4917,625,305,4612,0.6863115465002203,0.5487944452649332,0.8056198292281053,0.0660628432098102,Patient-level cluster bootstrap percentile,2000,2000,20263665,0.6506328493257357,0.7219902436747049,0.0182037514239616,DeLong normal approximation,Stage2,2m-3m,31-90d,0.2568253839631721,0.13751710123528715,0.11930828272788496,False
All-model common valid,Qwen3-4B baseline,LLM,5y,4917,625,305,4612,0.5986439509191986,0.528805417872524,0.6505176144269786,0.030269701463769,Patient-level cluster bootstrap percentile,2000,2000,20263680,0.5643132266455178,0.6329746751928795,0.0175159975104018,DeLong normal approximation,Stage2,2m-3m,31-90d,0.12171219655445464,0.06983853304667464,0.05187366350778,False
All-model common valid,Llama3.1-8B,LLM,5y,4917,625,305,4612,0.5208586296617519,0.4853975068550981,0.5525198704495797,0.0174083152779568,Patient-level cluster bootstrap percentile,2000,2000,20263695,0.4891304095658427,0.552586849757661,0.0161881648572,DeLong normal approximation,Stage2,2m-3m,31-90d,0.06712236359448165,0.03546112280665381,0.03166124078782784,False
All-model common valid,Huatuo-O1-7B,LLM,5y,4917,625,305,4612,0.5279744216797236,0.4913565773366649,0.5572146810597862,0.0169939792244176,Patient-level cluster bootstrap percentile,2000,2000,20263710,0.4946523929596554,0.5612964503997918,0.0170013474650085,DeLong normal approximation,Stage2,2m-3m,31-90d,0.06585810372312134,0.03661784434305876,0.029240259380062583,False
All-model common valid,XGBoost,ML,5y,8922,594,342,8580,0.7371641516378359,0.5935011206258217,0.8537412600152857,0.0681159728499296,Patient-level cluster bootstrap percentile,2000,2000,20263621,0.706050571213183,0.7682777320624887,0.0158745674257653,DeLong normal approximation,Stage3,4m-12m,91-365d,0.260240139389464,0.14366303101201416,0.11657710837744983,False
All-model common valid,LSTM,ML,5y,8922,594,342,8580,0.6399487452119031,0.5256239314870554,0.7345638805440263,0.051670494899831,Patient-level cluster bootstrap percentile,2000,2000,20263636,0.6117390460876081,0.6681584443361982,0.0143929681090109,DeLong normal approximation,Stage3,4m-12m,91-365d,0.2089399490569709,0.11432481372484771,0.09461513533212318,False
All-model common valid,RSF,ML,5y,8922,594,342,8580,0.6344122738859581,0.5184562754464415,0.7520705884908826,0.0602735814136557,Patient-level cluster bootstrap percentile,2000,2000,20263651,0.6014129200732123,0.6674116276987039,0.0168367143850807,DeLong normal approximation,Stage3,4m-12m,91-365d,0.23361431304444114,0.11595599843951665,0.11765831460492449,False
All-model common valid,Qwen3-4B SFT,LLM,5y,8922,594,342,8580,0.6438691912376123,0.496205981222018,0.7674314437619376,0.068562254069671,Patient-level cluster bootstrap percentile,2000,2000,20263666,0.6092533405456053,0.6784850419296193,0.0176614728459565,DeLong normal approximation,Stage3,4m-12m,91-365d,0.27122546253991964,0.14766321001559435,0.12356225252432529,False
All-model common valid,Qwen3-4B baseline,LLM,5y,8922,594,342,8580,0.5909310718521245,0.5179642819557243,0.6517698137228958,0.0342161198452203,Patient-level cluster bootstrap percentile,2000,2000,20263681,0.5594523858349962,0.6224097578692527,0.0160608492122447,DeLong normal approximation,Stage3,4m-12m,91-365d,0.13380553176717147,0.07296678989640015,0.06083874187077132,False
All-model common valid,Llama3.1-8B,LLM,5y,8922,594,342,8580,0.4954882836461783,0.4463474964729689,0.5399900821791369,0.0236239462466414,Patient-level cluster bootstrap percentile,2000,2000,20263696,0.4642671176151137,0.526709449677243,0.015929459049928,DeLong normal approximation,Stage3,4m-12m,91-365d,0.09364258570616801,0.04914078717320941,0.0445017985329586,False
All-model common valid,Huatuo-O1-7B,LLM,5y,8922,594,342,8580,0.5178173434752382,0.4825235249064851,0.5537383538210742,0.0176702253836056,Patient-level cluster bootstrap percentile,2000,2000,20263711,0.4862876377801889,0.5493470491702875,0.016086880138488,DeLong normal approximation,Stage3,4m-12m,91-365d,0.07121482891458908,0.03529381856875313,0.035921010345835946,False
All-model common valid,XGBoost,ML,5y,4942,489,126,4816,0.6864584981279334,0.5257647562868079,0.8382181168889136,0.0794605576911793,Patient-level cluster bootstrap percentile,2000,2000,20263622,0.6336960548114069,0.7392209414444598,0.026920108600316,DeLong normal approximation,Stage4,1y-2y,366-730d,0.3124533606021057,0.1606937418411255,0.1517596187609802,False
All-model common valid,LSTM,ML,5y,4942,489,126,4816,0.5936791383219955,0.3902843344000284,0.7698748354302078,0.0946855955470169,Patient-level cluster bootstrap percentile,2000,2000,20263637,0.5377958474503876,0.6495624291936034,0.028512407019929,DeLong normal approximation,Stage4,1y-2y,366-730d,0.37959050103017944,0.20339480392196707,0.17619569710821237,False
All-model common valid,RSF,ML,5y,4942,489,126,4816,0.6026530282655698,0.4418507440562597,0.7616015223087066,0.0818779283717168,Patient-level cluster bootstrap percentile,2000,2000,20263652,0.5466127532141317,0.6586933033170078,0.0285925024610026,DeLong normal approximation,Stage4,1y-2y,366-730d,0.3197507782524469,0.1608022842093101,0.15894849404313682,False
All-model common valid,Qwen3-4B SFT,LLM,5y,4942,489,126,4816,0.6385807229868691,0.4868472820342556,0.7821364813965944,0.0754880862286542,Patient-level cluster bootstrap percentile,2000,2000,20263667,0.5870913528503086,0.6900700931234296,0.0262705695322475,DeLong normal approximation,Stage4,1y-2y,366-730d,0.29528919936233883,0.15173344095261349,0.14355575840972534,False
All-model common valid,Qwen3-4B baseline,LLM,5y,4942,489,126,4816,0.636358467805727,0.5526544067132713,0.7127102630426145,0.0403953926581446,Patient-level cluster bootstrap percentile,2000,2000,20263682,0.5900832478162672,0.6826336877951868,0.0236102399607711,DeLong normal approximation,Stage4,1y-2y,366-730d,0.16005585632934327,0.08370406109245576,0.07635179523688751,False
All-model common valid,Llama3.1-8B,LLM,5y,4942,489,126,4816,0.5451924471338923,0.4832127579447849,0.6122526344164209,0.0335329942186599,Patient-level cluster bootstrap percentile,2000,2000,20263697,0.4952880770603238,0.5950968172074607,0.0254618811708825,DeLong normal approximation,Stage4,1y-2y,366-730d,0.12903987647163595,0.061979689189107345,0.0670601872825286,False
All-model common valid,Huatuo-O1-7B,LLM,5y,4942,489,126,4816,0.5259699810156622,0.4591760931184928,0.5928500587659774,0.0331171661881861,Patient-level cluster bootstrap percentile,2000,2000,20263712,0.4776219548395574,0.574318007191767,0.024667813570794,DeLong normal approximation,Stage4,1y-2y,366-730d,0.13367396564748463,0.06679388789716939,0.06688007775031524,False
All-model common valid,XGBoost,ML,5y,4538,356,117,4421,0.8241087119169003,0.4593396140074551,0.9516422286289452,0.1276965507175113,Patient-level cluster bootstrap percentile,2000,1999,20263623,0.7748607299366455,0.8733566938971551,0.0251269831327088,DeLong normal approximation,Stage5,>2y,>730d,0.4923026146214901,0.3647690979094452,0.12753351671204494,False
All-model common valid,LSTM,ML,5y,4538,356,117,4421,0.77204948410558,0.4152301987347954,0.9213871843292936,0.1351979478271205,Patient-level cluster bootstrap percentile,2000,1999,20263638,0.7164184856389532,0.8276804825722069,0.0283836840398278,DeLong normal approximation,Stage5,>2y,>730d,0.5061569855944982,0.35681928537078467,0.1493377002237135,False
All-model common valid,RSF,ML,5y,4538,356,117,4421,0.7654038514703522,0.4647902823773053,0.876515772891818,0.1045014100892072,Patient-level cluster bootstrap percentile,2000,1999,20263653,0.7150490049989742,0.8157586979417302,0.0256917202910719,DeLong normal approximation,Stage5,>2y,>730d,0.41172549051451274,0.3006135690930469,0.11111192142146586,False
All-model common valid,Qwen3-4B SFT,LLM,5y,4538,356,117,4421,0.6761426138263958,0.5433667378139619,0.9189806057510718,0.1060936059631202,Patient-level cluster bootstrap percentile,2000,1998,20263668,0.6272635667094136,0.725021660943378,0.0249387476007385,DeLong normal approximation,Stage5,>2y,>730d,0.3756138679371098,0.1327758760124339,0.24283799192467592,False
All-model common valid,Qwen3-4B baseline,LLM,5y,4538,356,117,4421,0.5305815097717382,0.3820662523399281,0.6878232790209082,0.0691484504385452,Patient-level cluster bootstrap percentile,2000,2000,20263683,0.4729515051618134,0.5882115143816631,0.0294036038746134,DeLong normal approximation,Stage5,>2y,>730d,0.30575702668098015,0.14851525743181015,0.15724176924917,False
All-model common valid,Llama3.1-8B,LLM,5y,4538,356,117,4421,0.5513197501435456,0.4858158046849134,0.6133916120481042,0.0299308947803767,Patient-level cluster bootstrap percentile,2000,1998,20263698,0.4971682068653353,0.6054712934217559,0.0276288460937806,DeLong normal approximation,Stage5,>2y,>730d,0.1275758073631908,0.0655039454586322,0.0620718619045586,False
All-model common valid,Huatuo-O1-7B,LLM,5y,4538,356,117,4421,0.5294524772018552,0.4957102668071998,0.5710837096405842,0.0187065009942861,Patient-level cluster bootstrap percentile,2000,2000,20263713,0.4757852677559985,0.5831196866477117,0.0273817324548699,DeLong normal approximation,Stage5,>2y,>730d,0.07537344283338437,0.03374221039465536,0.041631232438729016,False
